object|attribute|senword
a5|null|null
a6|null|不适合
大众|null|不要脸
大众|态度|不真诚
雪佛兰沃蓝达|null|低迷
桑塔纳|null|难看
奥迪|null|弱智
丰田|品牌|产生危机感
seatleon|销量|相当惨
别克|null|看着高端用起来低端
大多数车|操控，舒适性，悬挂，方向盘|远远不如，又硬又颠，有巨大的虚位
crosspolo|空间|mini
宝马|4s店服务|相差太远
4s|售后服务|null
80年代的车|null|影响自主品牌发展
byd|null|null
奥迪q7|null|舒服
q5|广告|失败
奥拓|null|null
奥迪，宝马|广告|null
奥迪|null|null
奔驰，奥迪|null|null
奥迪|null|想多了
奥迪|保养价格|高
奥迪a5|null|被秒杀
新车|null|真好看
奥迪a8l|价格|不买
奥迪q3|null|null
奥迪q5|null|鸡肋
奥迪奔驰|null|低
奥迪|空调|不会冷，问题不断
长安铃木|null|null
八下里丰田|保养|无视
宝马|null|null
宝马|null|被秒杀
宝马|null|null
奥迪|头灯|不喜欢
宝马6系|null|null
宝马minisuv|null|极力反对
奔驰|null|null
瓦格纳加蔡澈|null|null
宝马|形象|差
奔驰|维修价格|天价
null|价格|贵
奔驰sprinter|速度，避震|慢，死硬
本田|抗撞击|塌一个大坑
本田|捐款|才捐二十万
比亚迪-byd|null|null
比亚迪奇瑞吉利|对待客户态度|null
大众|null|null
大众|价格|不厚道
大众汽车|对待客户的态度|没诚信且傲慢
东风本田|null|讨厌
丰田|刹车性能|刹不住
丰田|刹车性能|吓
丰田|null|不信这么硬气
别克|null|再输，受不了
丰田佳美|null|垃圾,谋财害命
丰田凯美瑞|null|太平间里安心睡
丰田凯美瑞|null|不会当做豪华车
丰田雅力士|null|null
福特|null|null
广汽|防撞梁，车门|没有，焊接的
广汽传祺|总体评价|null
凯美瑞|null|null
汉兰达|null|null
吉博力|null|null
吉利|使用时间|null
捷达|null|null
凯美瑞|null|null
科鲁兹，景程|车标，安全性|难看，会自然
路虎|null|null
马丁|null|null
奇瑞|合作氛围|不突出
奇瑞|开了两年后的状况|想拖拉机一样
奔驰ecoupe|款型|臃肿
起亚k3|null|null
日产|null|null
日产|null|null
新车|品牌价值|降低了
雨燕|改装|面目全非
丰田|null|null
三星|null|骗子，色诱，吹牛皮
三星|null|null
桑塔纳|品牌|放弃了上海牌
e系|设计师|null
途观|null|null
雪佛兰|付款|null
雪佛兰|null|null
雪佛兰|价格|悲剧
本田|null|走下坡路
这车|款型|不好看
宝马|安全|会自然，安全更重要
日系|安全|车轻皮薄不安全
null|安全气囊|null
null|胎，车门，悬挂系统，刹车优先系统|劣质，焊接，垃圾，没有
日产|保养|尼玛
null|报价|不便宜
奥迪q3|操纵性，实用性|比不上，不着边儿
奥迪|刹车|刹不住
glk|产品力|不如
上海大众|产品质量，售后服务质量|差
奥迪a4|敞篷|null
车|性能|没看
null|车架|能拽出来
null|主流车型|存在致癌风险
福特汽车|广告|极其烦人
这些导航|导航|远远不及
起亚k2|倒车镜，后排车窗|麻痹
慕尚|倒车雷达pdc|不足
奔驰|电池，致癌性，发动机|电池门，致癌门，抛锚
科鲁兹|电瓶|像大姨妈一样
奥迪q5|动力|比不上
大奔|动力|不如别克
起亚车|动力，提速|无法相比，有很大差距
奥迪a8l|发动机|不足以
比亚迪|发动机|null
